Ticker,Date,Year,Quarter,Positive_Ratio,Negative_Ratio,Uncertainty_Ratio,Net_Sentiment
TSM,2006-07-27 22:23:38,2006,2,0.0251,0.0397,0.0126,-0.014599999999999998
XOM,2006-07-28 00:01:19,2006,2,0.0272,0.0258,0.0138,0.0013999999999999985
PG,2006-08-02 19:27:51,2006,4,0.0393,0.0149,0.0061,0.0244
SBUX,2006-08-03 03:16:36,2006,3,0.0386,0.0157,0.0124,0.022900000000000004
CVS,2006-08-03 17:03:02,2006,2,0.0405,0.0177,0.0105,0.0228
BKNG,2006-08-07 23:22:11,2006,2,0.0359,0.019,0.0199,0.016900000000000002
DIS,2006-08-09 14:49:12,2006,3,0.0478,0.0172,0.012,0.030600000000000002
CRM,2006-08-17 00:02:12,2007,2,0.0354,0.0145,0.0147,0.020900000000000002
GS,2006-09-12 21:07:12,2006,3,0.0426,0.0221,0.0162,0.020499999999999997
ADBE,2006-09-15 03:21:03,2006,3,0.0401,0.0197,0.0132,0.020399999999999998
ORCL,2006-09-20 01:46:44,2007,1,0.0359,0.0195,0.0151,0.0164
IBM,2006-10-17 23:02:59,2006,3,0.0438,0.0128,0.0064,0.031
EBAY,2006-10-18 23:27:44,2006,3,0.0388,0.0167,0.0122,0.0221
AMD,2006-10-19 01:01:44,2006,3,0.0302,0.0279,0.0172,0.0023
AAPL,2006-10-19 04:57:25,2006,4,0.0344,0.0264,0.0103,0.008
SAP,2006-10-19 19:21:05,2006,3,0.0373,0.0194,0.014,0.0179
C,2006-10-19 19:26:26,2006,3,0.0323,0.028,0.0099,0.004300000000000002
MCD,2006-10-19 22:22:48,2006,3,0.0552,0.0149,0.0071,0.0403
GOOG,2006-10-19 23:15:49,2006,3,0.0429,0.0207,0.0103,0.0222
MRK,2006-10-20 19:48:14,2006,3,0.0268,0.0357,0.0146,-0.008900000000000002
F,2006-10-23 19:39:27,2006,3,0.0274,0.0368,0.0073,-0.009399999999999999
NFLX,2006-10-24 01:16:19,2006,3,0.0334,0.021,0.0178,0.012399999999999998
TXN,2006-10-24 03:00:04,2006,3,0.0252,0.0345,0.0204,-0.009300000000000003
AMGN,2006-10-24 04:03:06,2006,3,0.0261,0.0298,0.0127,-0.0036999999999999984
AMZN,2006-10-24 23:31:18,2006,3,0.022,0.0275,0.0129,-0.005500000000000001
TMO,2006-10-25 16:49:51,2006,3,0.0425,0.0176,0.0092,0.024900000000000002
BA,2006-10-25 18:02:57,2006,3,0.0368,0.0227,0.0189,0.014099999999999998
GM,2006-10-25 20:06:50,2006,3,0.0328,0.0294,0.0124,0.0034000000000000037
TSM,2006-10-26 15:48:17,2006,3,0.025,0.0322,0.0164,-0.007199999999999998
CMCSA,2006-10-26 17:16:42,2006,3,0.0297,0.0182,0.0079,0.0115
XOM,2006-10-26 19:17:46,2006,3,0.0254,0.0237,0.0089,0.0017000000000000001
AZN,2006-10-26 19:33:36,2006,3,0.0262,0.0248,0.0145,0.001400000000000002
MSFT,2006-10-27 04:30:50,2007,1,0.0241,0.015,0.0123,0.0091
CVX,2006-10-29 23:58:52,2006,3,0.0325,0.037,0.0105,-0.004499999999999997
PG,2006-10-31 19:22:25,2007,1,0.0475,0.016,0.0081,0.0315
CVS,2006-11-02 14:43:55,2006,3,0.0357,0.0106,0.0111,0.025100000000000004
QCOM,2006-11-03 01:12:36,2006,4,0.0302,0.0284,0.0198,0.0017999999999999995
BKNG,2006-11-09 00:53:10,2006,3,0.0271,0.0157,0.0231,0.0114
DIS,2006-11-10 02:55:45,2006,4,0.0418,0.0177,0.0132,0.024099999999999996
CRM,2006-11-16 03:47:52,2007,3,0.043,0.0239,0.0181,0.019099999999999995
SBUX,2006-11-17 01:18:28,2006,4,0.0385,0.0128,0.0125,0.0257
GS,2006-12-12 21:53:32,2006,4,0.0376,0.0222,0.0169,0.0154
ADBE,2006-12-15 02:13:04,2006,4,0.0408,0.0155,0.0112,0.025300000000000003
ORCL,2006-12-19 01:37:26,2007,2,0.0297,0.0149,0.0126,0.0148
AAPL,2007-01-18 03:24:19,2007,1,0.0285,0.0219,0.0077,0.006600000000000002
IBM,2007-01-19 03:50:09,2006,4,0.0417,0.0126,0.0093,0.0291
C,2007-01-19 20:00:32,2006,4,0.0329,0.0256,0.0107,0.0072999999999999975
TXN,2007-01-23 03:25:31,2006,4,0.0238,0.036,0.0179,-0.012199999999999996
AMD,2007-01-24 02:34:45,2006,4,0.0368,0.022,0.0156,0.0148
MCD,2007-01-24 19:10:21,2006,4,0.0384,0.0202,0.0099,0.018199999999999997
NFLX,2007-01-25 00:57:59,2006,4,0.0296,0.0233,0.011,0.0063
EBAY,2007-01-25 01:33:04,2006,4,0.0435,0.0186,0.0082,0.0249
QCOM,2007-01-25 02:15:56,2007,1,0.036,0.0235,0.0167,0.012499999999999997
TSM,2007-01-25 16:13:24,2006,4,0.0188,0.0298,0.0194,-0.011
F,2007-01-25 21:19:45,2006,4,0.0373,0.0357,0.0087,0.0015999999999999973
AMGN,2007-01-26 01:26:52,2006,4,0.0283,0.0285,0.0109,-0.00020000000000000226
MSFT,2007-01-26 02:43:09,2007,2,0.0232,0.0157,0.0125,0.0075
PG,2007-01-30 18:21:31,2007,2,0.0435,0.0178,0.0091,0.025699999999999997
MRK,2007-01-30 21:12:01,2006,4,0.0246,0.0315,0.012,-0.0069
BA,2007-01-31 21:13:55,2006,4,0.0443,0.0272,0.0133,0.0171
GOOG,2007-02-01 01:24:27,2006,4,0.0412,0.0149,0.0128,0.0263
SBUX,2007-02-01 02:43:54,2007,1,0.0388,0.0138,0.0112,0.025
CVS,2007-02-01 18:23:11,2006,4,0.0402,0.0177,0.0153,0.0225
CMCSA,2007-02-01 19:06:32,2006,4,0.0316,0.0184,0.0087,0.013200000000000003
F,2007-02-01 20:52:24,2007,-1,0.0212,0.0339,0.0123,-0.0127
XOM,2007-02-01 21:14:06,2006,4,0.0273,0.027,0.0114,0.00030000000000000165
GM,2007-02-01 23:17:03,2007,-1,0.0254,0.0328,0.0086,-0.007400000000000004
AMZN,2007-02-02 00:36:12,2006,4,0.028,0.0224,0.0168,0.005600000000000001
AZN,2007-02-07 15:31:13,2006,4,0.0244,0.0248,0.0161,-0.0003999999999999976
DIS,2007-02-08 03:27:27,2007,1,0.0431,0.0202,0.0097,0.0229
PEP,2007-02-08 21:40:35,2006,4,0.0456,0.0181,0.0098,0.0275
BKNG,2007-02-13 00:57:20,2006,4,0.0297,0.0135,0.0185,0.0162
CRM,2007-02-22 02:29:07,2007,4,0.0339,0.0167,0.0191,0.0172
GS,2007-03-13 18:36:22,2007,1,0.0289,0.0262,0.0175,0.0026999999999999975
GM,2007-03-15 04:45:30,2006,4,0.0293,0.0286,0.0104,0.0006999999999999992
ORCL,2007-03-21 01:08:20,2007,3,0.0362,0.0158,0.0129,0.0204
ADBE,2007-03-21 02:34:42,2007,1,0.0368,0.0143,0.0121,0.0225
MS,2007-03-21 22:19:37,2007,1,0.0341,0.0235,0.0174,0.010599999999999998
C,2007-04-16 19:02:09,2007,1,0.0365,0.0292,0.0143,0.0072999999999999975
IBM,2007-04-17 23:26:36,2007,1,0.0398,0.0248,0.0111,0.015000000000000003
NFLX,2007-04-18 18:30:17,2007,1,0.0294,0.023,0.0163,0.0063999999999999994
EBAY,2007-04-18 23:46:10,2007,1,0.0515,0.0145,0.0083,0.037
MRK,2007-04-19 19:27:52,2007,1,0.0274,0.0386,0.0138,-0.011200000000000002
GOOG,2007-04-19 23:50:03,2007,1,0.0439,0.0203,0.0122,0.023600000000000003
AMD,2007-04-20 02:20:13,2007,1,0.0302,0.0337,0.0108,-0.0034999999999999996
SAP,2007-04-20 16:27:07,2007,1,0.0255,0.0222,0.0132,0.0032999999999999974
MCD,2007-04-20 20:38:43,2007,1,0.04,0.0209,0.0123,0.019100000000000002
AMGN,2007-04-24 01:08:44,2007,1,0.0221,0.0284,0.0156,-0.0063
TXN,2007-04-24 02:53:46,2007,1,0.0316,0.0298,0.0181,0.001800000000000003
AMZN,2007-04-25 08:27:34,2007,1,0.0363,0.0173,0.0169,0.019
PEP,2007-04-25 20:39:23,2007,1,0.0603,0.0147,0.0058,0.0456
BA,2007-04-25 21:18:49,2007,1,0.0449,0.0256,0.0128,0.0193
QCOM,2007-04-26 01:18:16,2007,2,0.0312,0.0231,0.016,0.0081
AAPL,2007-04-26 02:50:27,2007,2,0.0325,0.0229,0.012,0.009600000000000001
CMCSA,2007-04-26 14:33:46,2007,1,0.0312,0.0187,0.0076,0.012499999999999997
XOM,2007-04-26 20:29:19,2007,1,0.0335,0.0214,0.0121,0.012100000000000003
MSFT,2007-04-27 00:41:21,2007,3,0.0271,0.0124,0.0142,0.0147
F,2007-04-27 02:36:22,2007,1,0.039,0.0301,0.0094,0.008900000000000002
TSM,2007-04-27 05:14:44,2007,1,0.0201,0.0274,0.0194,-0.007300000000000001
CVX,2007-04-27 18:23:00,2007,1,0.0331,0.0388,0.0106,-0.005700000000000004
PG,2007-05-01 17:36:11,2007,3,0.0374,0.0181,0.0057,0.0193
MA,2007-05-02 19:20:00,2007,1,0.0327,0.0258,0.0084,0.0069
GM,2007-05-03 20:26:19,2007,1,0.0334,0.0332,0.0082,0.0001999999999999988
SBUX,2007-05-04 02:23:44,2007,2,0.0298,0.0143,0.0104,0.0155
CVS,2007-05-08 19:08:24,2007,1,0.0336,0.0167,0.0121,0.0169
DIS,2007-05-09 00:25:59,2007,2,0.0514,0.0144,0.01,0.037000000000000005
CRM,2007-05-17 02:38:49,2008,1,0.0484,0.0169,0.0137,0.0315
GS,2007-06-14 20:18:42,2007,2,0.0349,0.0277,0.0164,0.0072000000000000015
ADBE,2007-06-15 02:05:35,2007,2,0.0383,0.0148,0.0139,0.0235
MS,2007-06-20 19:58:25,2007,2,0.0285,0.0176,0.0124,0.0109
ORCL,2007-06-27 02:06:52,2007,4,0.029,0.0153,0.0128,0.013700000000000002
WFC,2007-07-17 17:10:44,2007,2,0.0238,0.0168,0.0115,0.007000000000000003
NVS,2007-07-17 18:43:55,2007,2,0.0293,0.0367,0.0154,-0.007400000000000004
WFC,2007-07-17 23:36:03,2007,2,0.0239,0.0168,0.0115,0.007100000000000002
JPM,2007-07-18 17:33:05,2007,2,0.0315,0.0323,0.0085,-0.0008000000000000021
ABT,2007-07-18 19:16:50,2007,2,0.0266,0.0179,0.0155,0.0087
ABT,2007-07-18 19:40:03,2007,2,0.0266,0.0179,0.0153,0.0087
EBAY,2007-07-18 23:54:05,2007,2,0.0424,0.0148,0.0085,0.0276
IBM,2007-07-19 01:16:33,2007,2,0.0464,0.019,0.0056,0.027399999999999997
SAP,2007-07-19 19:13:29,2007,2,0.0312,0.0144,0.0127,0.0168
BAC,2007-07-19 19:31:23,2007,2,0.0262,0.0293,0.0167,-0.0030999999999999986
UNH,2007-07-19 20:01:22,2007,2,0.0437,0.0235,0.0117,0.020200000000000003
SAP,2007-07-20 00:07:03,2007,2,0.0314,0.0146,0.0126,0.016799999999999995
GOOG,2007-07-20 01:36:24,2007,2,0.0511,0.0207,0.0099,0.0304
AMD,2007-07-20 02:03:20,2007,2,0.0419,0.0269,0.0122,0.015
MSFT,2007-07-20 04:01:39,2007,4,0.0293,0.0144,0.011,0.0149
C,2007-07-20 19:18:56,2007,2,0.0345,0.0276,0.0136,0.006900000000000003
MRK,2007-07-23 18:51:12,2007,2,0.0298,0.0305,0.014,-0.0006999999999999992
NFLX,2007-07-24 00:10:40,2007,2,0.0282,0.0335,0.0155,-0.005300000000000003
AXP,2007-07-24 00:53:11,2007,2,0.0429,0.0231,0.0127,0.0198
TXN,2007-07-24 01:51:09,2007,2,0.0277,0.025,0.0174,0.0026999999999999975
MCD,2007-07-24 20:54:32,2007,2,0.0447,0.0187,0.0085,0.025999999999999995
PEP,2007-07-24 22:01:13,2007,2,0.045,0.0135,0.0073,0.0315
AMZN,2007-07-25 01:29:34,2007,2,0.0283,0.0178,0.0155,0.010499999999999999
BA,2007-07-25 21:15:25,2007,2,0.0365,0.024,0.0152,0.012499999999999997
QCOM,2007-07-26 02:18:28,2007,3,0.029,0.0362,0.0198,-0.0072000000000000015
AAPL,2007-07-26 02:59:18,2007,3,0.0254,0.0194,0.0092,0.005999999999999998
CMCSA,2007-07-26 14:49:24,2007,2,0.0191,0.0196,0.0105,-0.0005000000000000004
TSM,2007-07-26 15:58:39,2007,2,0.0235,0.0245,0.0204,-0.0010000000000000009
F,2007-07-26 20:28:19,2007,2,0.0427,0.0282,0.0088,0.014500000000000002
XOM,2007-07-26 21:07:07,2007,2,0.0359,0.0212,0.0118,0.014700000000000001
BMY,2007-07-26 22:28:16,2007,2,0.0287,0.0229,0.0143,0.0058
TMO,2007-07-27 01:14:58,2007,2,0.0362,0.0161,0.0082,0.020100000000000003
AMGN,2007-07-27 02:52:23,2007,2,0.0266,0.031,0.01,-0.004400000000000001
AZN,2007-07-27 03:48:05,2007,2,0.0364,0.0231,0.0106,0.013300000000000003
CVX,2007-07-27 18:17:51,2007,2,0.0248,0.0427,0.0133,-0.017900000000000003
GM,2007-07-31 20:48:15,2007,2,0.0434,0.0282,0.0112,0.015200000000000002
MA,2007-08-01 18:24:38,2007,2,0.0268,0.0228,0.0085,0.004
DIS,2007-08-01 23:46:22,2007,3,0.0463,0.0152,0.015,0.031100000000000003
SBUX,2007-08-02 01:57:45,2007,3,0.0358,0.0141,0.0121,0.021699999999999997
CVS,2007-08-02 17:37:03,2007,2,0.0333,0.0188,0.0132,0.014500000000000002
AMT,2007-08-02 18:48:27,2007,2,0.0252,0.0235,0.0193,0.0017000000000000001
PG,2007-08-03 16:31:02,2007,4,0.0424,0.0178,0.0076,0.0246
DUK,2007-08-07 19:47:51,2007,2,0.0312,0.0157,0.0167,0.0155
BKNG,2007-08-08 03:26:17,2007,2,0.0245,0.015,0.0199,0.009500000000000001
CRM,2007-08-15 23:45:05,2008,2,0.0393,0.0163,0.0175,0.023000000000000003
LOW,2007-08-20 17:57:14,2007,2,0.04,0.0278,0.0138,0.012200000000000003
TD,2007-08-24 11:46:48,2007,3,0.0404,0.0288,0.0225,0.0116
ADBE,2007-09-18 00:14:16,2007,3,0.0393,0.0147,0.0129,0.024600000000000004
RY,2007-09-18 08:51:22,2007,3,0.0267,0.0301,0.0197,-0.0033999999999999968
MS,2007-09-19 21:22:39,2007,3,0.0252,0.0274,0.0169,-0.0022000000000000006
GS,2007-09-20 20:10:02,2007,3,0.0237,0.032,0.0191,-0.008300000000000002
ORCL,2007-09-21 01:59:24,2008,1,0.0284,0.016,0.0124,0.012400000000000001
PEP,2007-10-11 21:25:25,2007,3,0.0351,0.0136,0.0062,0.0215
C,2007-10-15 17:16:40,2007,3,0.0227,0.0313,0.0131,-0.0086
WFC,2007-10-16 14:10:49,2007,3,0.0197,0.0239,0.0066,-0.004200000000000002
IBM,2007-10-17 00:17:03,2007,3,0.0419,0.0182,0.0064,0.0237
ABT,2007-10-17 17:53:08,2007,3,0.0286,0.0165,0.0116,0.0121
JPM,2007-10-17 19:49:31,2007,3,0.0228,0.0273,0.0094,-0.0045000000000000005
EBAY,2007-10-18 00:36:10,2007,3,0.0347,0.0131,0.0114,0.0216
NVS,2007-10-18 19:02:55,2007,3,0.027,0.0303,0.0067,-0.003300000000000001
UNH,2007-10-18 19:47:55,2007,3,0.0388,0.0179,0.0108,0.020900000000000002
BAC,2007-10-18 20:48:59,2007,3,0.019,0.034,0.0156,-0.015000000000000003
SAP,2007-10-18 22:18:44,2007,3,0.0264,0.0191,0.0099,0.007300000000000001
GOOG,2007-10-19 01:30:02,2007,3,0.0376,0.0172,0.0091,0.0204
AMD,2007-10-19 02:37:26,2007,3,0.0354,0.0231,0.0122,0.012300000000000002
MCD,2007-10-19 21:27:39,2007,3,0.0338,0.0132,0.0083,0.020599999999999997
MRK,2007-10-22 20:01:54,2007,3,0.0258,0.0237,0.0112,0.002100000000000001
AAPL,2007-10-23 00:31:48,2007,4,0.0254,0.0221,0.0091,0.0032999999999999974
AXP,2007-10-23 00:58:52,2007,3,0.0329,0.0187,0.0065,0.014199999999999997
TXN,2007-10-23 02:45:17,2007,3,0.0236,0.0194,0.0125,0.004199999999999999
NFLX,2007-10-23 02:54:00,2007,3,0.0305,0.0193,0.0132,0.011199999999999998
UPS,2007-10-23 18:26:07,2007,3,0.0374,0.0207,0.0127,0.016700000000000003
AMZN,2007-10-24 01:44:12,2007,3,0.0301,0.0188,0.0103,0.011299999999999998
AMGN,2007-10-25 02:00:07,2007,3,0.0191,0.0311,0.0093,-0.012
BA,2007-10-25 14:10:12,2007,3,0.0347,0.0301,0.0139,0.004600000000000003
CMCSA,2007-10-25 16:46:37,2007,3,0.0175,0.0152,0.0095,0.0023000000000000017
TMO,2007-10-25 18:05:21,2007,3,0.0277,0.0126,0.0068,0.015099999999999999
BMY,2007-10-25 19:01:24,2007,3,0.0244,0.0212,0.01,0.0032000000000000015
TSM,2007-10-25 23:07:12,2007,3,0.0235,0.0267,0.0148,-0.0032000000000000015
MSFT,2007-10-26 01:54:49,2007,-1,0.0437,0.0235,0.0087,0.020200000000000003
MSFT,2007-10-26 03:33:07,2008,1,0.0339,0.0168,0.0094,0.0171
PG,2007-10-30 16:44:15,2008,1,0.0285,0.0176,0.0086,0.0109
MA,2007-10-31 17:30:23,2007,3,0.0227,0.0207,0.014,0.0020000000000000018
CVS,2007-11-01 17:55:23,2007,3,0.0375,0.017,0.0094,0.020499999999999997
AZN,2007-11-01 20:43:11,2007,3,0.0206,0.0316,0.0146,-0.011000000000000003
XOM,2007-11-01 21:26:53,2007,3,0.0254,0.0236,0.009,0.0017999999999999995
DUK,2007-11-02 18:18:18,2007,3,0.0287,0.0156,0.0128,0.0131
CVX,2007-11-02 21:23:21,2007,3,0.0216,0.0335,0.0083,-0.0119
C,2007-11-05 16:25:43,2007,-1,0.0166,0.0265,0.0236,-0.009899999999999999
SE,2007-11-07 05:59:52,2007,3,0.0286,0.0176,0.0088,0.011
AMT,2007-11-07 19:57:00,2007,3,0.0185,0.0087,0.0149,0.0098
GM,2007-11-08 01:48:01,2007,3,0.0252,0.0282,0.0044,-0.002999999999999999
F,2007-11-09 01:40:10,2007,3,0.0322,0.0245,0.0083,0.0076999999999999985
DIS,2007-11-09 04:26:58,2007,4,0.0439,0.0195,0.0128,0.0244
QCOM,2007-11-09 05:37:22,2007,4,0.0267,0.0196,0.0141,0.007100000000000002
BKNG,2007-11-13 20:46:30,2007,3,0.0289,0.0148,0.014,0.014099999999999998
TMUS,2007-11-14 19:21:49,2007,3,0.0215,0.0176,0.018,0.0038999999999999972
CRM,2007-11-16 01:17:21,2008,3,0.0221,0.013,0.0125,0.009100000000000002
SBUX,2007-11-16 03:20:10,2007,4,0.0328,0.0156,0.012,0.017200000000000003
LOW,2007-11-19 20:58:02,2007,3,0.0315,0.0276,0.0121,0.0039000000000000007
RY,2007-11-30 08:58:02,2007,4,0.0289,0.0334,0.0171,-0.0045000000000000005
TD,2007-11-30 21:37:07,2007,4,0.0304,0.0281,0.0162,0.0023
F,2007-12-04 16:13:29,2007,-1,0.0125,0.0257,0.0112,-0.0132
MRK,2007-12-04 19:07:24,2007,-1,0.0327,0.0175,0.0171,0.015199999999999998
TXN,2007-12-11 00:29:25,2007,4,0.0181,0.0315,0.0212,-0.013399999999999999
ADBE,2007-12-18 02:57:05,2007,4,0.0247,0.015,0.0109,0.0097
GS,2007-12-18 22:17:12,2007,4,0.0272,0.0209,0.0175,0.0063
MS,2007-12-19 22:14:46,2007,4,0.0231,0.028,0.0231,-0.004900000000000002
ORCL,2007-12-20 03:16:18,2008,2,0.0335,0.019,0.0133,0.014500000000000002
MSFT,2008-01-08 03:38:21,2008,-1,0.015,0.0117,0.0091,0.003299999999999999
SBUX,2008-01-08 05:52:38,2008,-1,0.0311,0.0149,0.0105,0.0162
BAC,2008-01-11 19:23:18,2008,-1,0.0215,0.026,0.0162,-0.0045000000000000005
C,2008-01-15 22:37:32,2007,4,0.0231,0.0405,0.0203,-0.017400000000000002
WFC,2008-01-16 16:52:20,2007,4,0.0234,0.0245,0.0075,-0.0011000000000000003
JPM,2008-01-16 19:57:53,2007,4,0.0177,0.0282,0.0132,-0.010499999999999999
IBM,2008-01-18 01:22:26,2007,4,0.0415,0.0152,0.0083,0.026300000000000004
AMD,2008-01-18 03:19:24,2007,4,0.0415,0.02,0.0147,0.021500000000000002
AMD,2008-01-20 09:27:12,2007,4,0.0415,0.02,0.0147,0.021500000000000002
BAC,2008-01-22 20:15:15,2007,4,0.0188,0.0333,0.0219,-0.014500000000000002
UNH,2008-01-22 20:16:49,2007,4,0.0351,0.0207,0.0182,0.0144
AAPL,2008-01-23 02:18:18,2008,1,0.0362,0.0209,0.0106,0.015300000000000005
TXN,2008-01-23 03:38:41,2007,4,0.0267,0.0232,0.0156,0.003500000000000003
ABT,2008-01-23 21:45:06,2007,4,0.0342,0.0154,0.0152,0.0188
QCOM,2008-01-24 02:03:03,2008,1,0.0281,0.0255,0.0198,0.0026000000000000016
EBAY,2008-01-24 03:34:45,2007,4,0.0494,0.0119,0.0134,0.0375
NFLX,2008-01-24 06:43:01,2007,4,0.0322,0.0219,0.0147,0.0103
UNP,2008-01-24 22:42:06,2007,4,0.0475,0.0303,0.0127,0.0172
